Increase	Decrease
6457	502
6886	5515
10467	5839
10494	6323
15031	6355
15833	6366
30684	6950
42254	6979
42886	15616
45184	16301
51082	16310
101031	19773
1990904	19774
54	34599
55	62197
96	70603
447	785
460	786
462	3682
463	4298
466	5488
469	5829
470	5856
472	5938
478	5975
479	5996
480	6083
966	6084
967	6091
1056	6163
3735	6164
4812	6325
5198	6333
5635	6334
5730	6338
5759	6351
5783	6354
5840	6357
5844	6368
6139	6637
6364	6753
6396	6793
6403	6796
6405	6996
6418	8094
6520	8289
6611	9056
6612	9117
6613	9150
6614	9152
6725	9259
6790	9890
6807	10468
6810	10499
6811	10558
6820	15629
6913	16043
8104	16052
9066	16054
12505	16462
15931	16586
15934	16616
16070	16740
16072	16773
16757	16787
16874	16817
16875	16818
22613	16878
22625	17076
30490	18130
30686	19219
30687	19318
30688	19438
31503	19637
31974	19693
31981	19842
32040	30479
33036	30554
33750	30863
34470	30864
34471	31324
34613	31327
34660	31497
35770	32553
36464	32555
42273	32559
42274	32774
43233	32787
44085	33865
44238	33875
44391	34032
45047	34315
46483	34654
46907	34728
50657	35383
50658	35639
51168	43044
51169	43227
51170	43254
51179	43933
51234	44087
51236	44089
51641	44248
51649	44282
70013	44815
70727	44877
70972	45892
71166	46034
71426	46394
71428	46395
71702	47834
71705	48523
72599	50789
90305	50794
90501	50896
90502	51125
98798	51128
1901360	51172
166	51252
5576	51253
5622	51276
5737	55086
6082	61645
8152	65007
9987	70003
16053	71103
16491	71824
16614	72329
19752	72521
30312	72522
31012	80090
32991	97367
36094	97659
43167	140096
43168	140535
43226	1901362
43228	1901565
43229	1901575
43231	1902494
43232	1902679
43436	1903506
44237	1903507
44281	1904949
44283	1905368
62039	1990204
62040	2000112
71704	2000113
71840	2001141
71944	166
1901265	5576
1901605	5622
	5737
	6082
	8152
	9987
	16053
	16491
	16614
	19752
	30312
	31012
	32991
	36094
	43167
	43168
	43226
	43228
	43229
	43231
	43232
	43436
	44237
	44281
	44283
	62039
	62040
	71704
	71840
	71944
	1901265
	1901605
